1529649245 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.9 id, 5.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529649246 %Cpu(s): 4.3 us, 1.5 sy, 0.0 ni, 88.9 id, 5.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529649247 %Cpu(s): 4.3 us, 1.5 sy, 0.0 ni, 88.9 id, 5.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529649248 %Cpu(s): 4.3 us, 1.5 sy, 0.0 ni, 88.9 id, 5.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529649249 %Cpu(s): 4.3 us, 1.5 sy, 0.0 ni, 88.9 id, 5.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529649251 %Cpu(s): 4.3 us, 1.5 sy, 0.0 ni, 88.9 id, 5.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529649252 %Cpu(s): 4.3 us, 1.5 sy, 0.0 ni, 88.9 id, 5.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529649253 %Cpu(s): 4.3 us, 1.5 sy, 0.0 ni, 88.9 id, 5.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529649254 %Cpu(s): 4.3 us, 1.5 sy, 0.0 ni, 88.9 id, 5.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529649255 %Cpu(s): 4.3 us, 1.5 sy, 0.0 ni, 88.9 id, 5.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529649256 %Cpu(s): 4.3 us, 1.5 sy, 0.0 ni, 88.9 id, 5.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529649258 %Cpu(s): 4.3 us, 1.5 sy, 0.0 ni, 88.9 id, 5.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529649259 %Cpu(s): 4.3 us, 1.5 sy, 0.0 ni, 88.9 id, 5.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529649260 %Cpu(s): 4.3 us, 1.5 sy, 0.0 ni, 88.9 id, 5.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529649261 %Cpu(s): 4.3 us, 1.5 sy, 0.0 ni, 88.9 id, 5.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529649262 %Cpu(s): 4.3 us, 1.5 sy, 0.0 ni, 88.9 id, 5.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529649263 %Cpu(s): 4.3 us, 1.5 sy, 0.0 ni, 88.9 id, 5.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529649265 %Cpu(s): 4.3 us, 1.5 sy, 0.0 ni, 88.9 id, 5.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529649266 %Cpu(s): 4.3 us, 1.5 sy, 0.0 ni, 88.9 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649267 %Cpu(s): 4.3 us, 1.5 sy, 0.0 ni, 88.9 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649268 %Cpu(s): 4.3 us, 1.5 sy, 0.0 ni, 88.9 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649269 %Cpu(s): 4.3 us, 1.5 sy, 0.0 ni, 88.9 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649271 %Cpu(s): 4.3 us, 1.5 sy, 0.0 ni, 88.9 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649272 %Cpu(s): 4.3 us, 1.5 sy, 0.0 ni, 88.9 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649273 %Cpu(s): 4.3 us, 1.5 sy, 0.0 ni, 88.9 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649274 %Cpu(s): 4.3 us, 1.5 sy, 0.0 ni, 88.9 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649275 %Cpu(s): 4.3 us, 1.5 sy, 0.0 ni, 88.9 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649276 %Cpu(s): 4.3 us, 1.5 sy, 0.0 ni, 88.9 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649278 %Cpu(s): 4.3 us, 1.5 sy, 0.0 ni, 88.9 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649279 %Cpu(s): 4.3 us, 1.5 sy, 0.0 ni, 88.9 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649280 %Cpu(s): 4.3 us, 1.5 sy, 0.0 ni, 88.9 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649281 %Cpu(s): 4.3 us, 1.5 sy, 0.0 ni, 88.9 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649282 %Cpu(s): 4.3 us, 1.5 sy, 0.0 ni, 88.9 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649283 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 88.9 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649285 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 88.9 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649286 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 88.9 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649287 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 88.9 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649288 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 88.9 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649289 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 88.9 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649290 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 88.9 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649292 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 88.9 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649293 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 88.9 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649294 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649295 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649296 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649297 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649299 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649300 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649301 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649302 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649303 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649304 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649306 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649307 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649308 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649309 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649310 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649311 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649313 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649314 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
