1529649245 KiB Mem: 8197444 total, 7817728 used, 379716 free, 11008 buffers
1529649246 KiB Mem: 8197444 total, 7908036 used, 289408 free, 11020 buffers
1529649247 KiB Mem: 8197444 total, 7960544 used, 236900 free, 11020 buffers
1529649248 KiB Mem: 8197444 total, 8041332 used, 156112 free, 11024 buffers
1529649249 KiB Mem: 8197444 total, 8041912 used, 155532 free, 11024 buffers
1529649251 KiB Mem: 8197444 total, 8032844 used, 164600 free, 11032 buffers
1529649252 KiB Mem: 8197444 total, 8030624 used, 166820 free, 11032 buffers
1529649253 KiB Mem: 8197444 total, 8033732 used, 163712 free, 11032 buffers
1529649254 KiB Mem: 8197444 total, 8033556 used, 163888 free, 11032 buffers
1529649255 KiB Mem: 8197444 total, 8027732 used, 169712 free, 11040 buffers
1529649256 KiB Mem: 8197444 total, 8028400 used, 169044 free, 11040 buffers
1529649258 KiB Mem: 8197444 total, 8025824 used, 171620 free, 11040 buffers
1529649259 KiB Mem: 8197444 total, 8028488 used, 168956 free, 11040 buffers
1529649260 KiB Mem: 8197444 total, 8028664 used, 168780 free, 11040 buffers
1529649261 KiB Mem: 8197444 total, 8028632 used, 168812 free, 11052 buffers
1529649262 KiB Mem: 8197444 total, 8029112 used, 168332 free, 11052 buffers
1529649263 KiB Mem: 8197444 total, 8025104 used, 172340 free, 11052 buffers
1529649265 KiB Mem: 8197444 total, 8028488 used, 168956 free, 11052 buffers
1529649266 KiB Mem: 8197444 total, 8028664 used, 168780 free, 11060 buffers
1529649267 KiB Mem: 8197444 total, 8028472 used, 168972 free, 11060 buffers
1529649268 KiB Mem: 8197444 total, 8028892 used, 168552 free, 11060 buffers
1529649269 KiB Mem: 8197444 total, 8025528 used, 171916 free, 11060 buffers
1529649271 KiB Mem: 8197444 total, 8029812 used, 167632 free, 11068 buffers
1529649272 KiB Mem: 8197444 total, 8030420 used, 167024 free, 11068 buffers
1529649273 KiB Mem: 8197444 total, 8030144 used, 167300 free, 11068 buffers
1529649274 KiB Mem: 8197444 total, 8039236 used, 158208 free, 11068 buffers
1529649275 KiB Mem: 8197444 total, 8035992 used, 161452 free, 11068 buffers
1529649276 KiB Mem: 8197444 total, 8036092 used, 161352 free, 11076 buffers
1529649278 KiB Mem: 8197444 total, 8038252 used, 159192 free, 11076 buffers
1529649279 KiB Mem: 8197444 total, 8035036 used, 162408 free, 11076 buffers
1529649280 KiB Mem: 8197444 total, 8029464 used, 167980 free, 11076 buffers
1529649281 KiB Mem: 8197444 total, 8030380 used, 167064 free, 11084 buffers
1529649282 KiB Mem: 8197444 total, 8026700 used, 170744 free, 11084 buffers
1529649283 KiB Mem: 8197444 total, 8030576 used, 166868 free, 11084 buffers
1529649285 KiB Mem: 8197444 total, 8030632 used, 166812 free, 11084 buffers
1529649286 KiB Mem: 8197444 total, 8030180 used, 167264 free, 11092 buffers
1529649287 KiB Mem: 8197444 total, 8029948 used, 167496 free, 11092 buffers
1529649288 KiB Mem: 8197444 total, 8027444 used, 170000 free, 11092 buffers
1529649289 KiB Mem: 8197444 total, 8029712 used, 167732 free, 11092 buffers
1529649290 KiB Mem: 8197444 total, 8030472 used, 166972 free, 11100 buffers
